latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-46.25891,168.21355,329.7,0.39,0.37,2020-01-24,0236,N,nominal,1.0NRT,294.4,2.1,D
-45.79665,168.698,348.7,0.39,0.36,2020-01-24,0236,N,nominal,1.0NRT,297.6,13.6,D
-21.85907,166.04208,348,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,296.7,8.3,D
-21.85465,166.04587,350.5,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,301.9,18.1,D
-21.85544,166.04135,353.7,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,305.3,7.9,D
-21.85102,166.04515,352,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,307.5,18.1,D
-21.8518,166.04063,341.5,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,304.1,7.9,D
-21.84739,166.04442,350.6,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,306.2,20.5,D
-21.84817,166.03989,352.4,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,306,31.4,D
-21.84454,166.03915,350,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,304.9,31.4,D
-21.84091,166.03841,350.7,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,304.5,10.7,D
-21.8417,166.03387,337.7,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,302.8,10.7,D
-21.83728,166.03767,337,0.47,0.39,2020-01-24,0248,N,nominal,1.0NRT,299.4,10.7,D
-21.0191,164.68698,335.9,0.42,0.38,2020-01-24,0248,N,low,1.0NRT,306.6,2.7,D
-21.01563,164.68631,346.6,0.42,0.38,2020-01-24,0248,N,nominal,1.0NRT,307.6,17.9,D
-19.52869,169.45021,343.5,0.53,0.5,2020-01-24,0248,N,nominal,1.0NRT,295.3,8.9,D
-19.52968,169.44531,344.1,0.53,0.5,2020-01-24,0248,N,nominal,1.0NRT,302.1,8.9,D
-19.5305,169.44876,348,0.53,0.5,2020-01-24,0248,N,nominal,1.0NRT,299.3,13.9,D
-19.53139,169.4442,332.1,0.53,0.5,2020-01-24,0248,N,nominal,1.0NRT,301.8,9.9,D
-19.52579,169.44836,331.6,0.53,0.5,2020-01-24,0248,N,nominal,1.0NRT,293.1,3.6,D
-20.23001,147.79793,343.4,0.73,0.76,2020-01-24,0248,N,nominal,1.0NRT,287.2,12.9,D
-20.22288,147.79723,331.3,0.73,0.76,2020-01-24,0248,N,nominal,1.0NRT,286.3,8.3,D
-37.43718,149.25458,367,0.78,0.78,2020-01-24,0242,N,high,1.0NRT,291.5,38.5,D
-37.43722,149.24675,356,0.78,0.78,2020-01-24,0242,N,nominal,1.0NRT,290.2,23.1,D
-37.37052,149.30161,326.2,0.77,0.78,2020-01-24,0242,N,nominal,1.0NRT,287.6,6.8,D
-37.43122,149.25452,326.4,0.78,0.78,2020-01-24,0242,N,nominal,1.0NRT,287.7,9.5,D
-37.43132,149.24373,337.2,0.78,0.78,2020-01-24,0242,N,nominal,1.0NRT,288.7,9.5,D
-37.37172,149.30287,327.3,0.77,0.77,2020-01-24,0242,N,nominal,1.0NRT,287.9,7.7,D
-37.2614,149.13948,327.4,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,292.2,6.3,D
-37.26144,149.11412,332.6,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,291.4,11.3,D
-37.30762,149.06337,338.9,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,292.9,8.7,D
-37.26241,149.14401,329.7,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,294.7,7.7,D
-37.25522,149.10454,328.4,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,290.7,12.8,D
-37.24765,149.12932,367,0.79,0.78,2020-01-24,0242,N,high,1.0NRT,311.4,72.6,D
-37.2476,149.13695,341.7,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,292.4,72.6,D
-37.24771,149.1185,352.1,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,292.8,57.4,D
-37.24021,149.13145,346.9,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,292.3,29.3,D
-37.24026,149.11971,339.4,0.79,0.78,2020-01-24,0242,N,nominal,1.0NRT,291.4,13.9,D
-36.88024,149.4794,333.4,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,289.3,5.9,D
-36.87965,149.48038,332.8,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,289,6.1,D
-36.86509,149.47652,328.5,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,288.8,11.8,D
-36.73468,149.40851,329.8,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,289.4,6.1,D
-36.72024,149.38696,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,303.5,68.2,D
-36.71274,149.40625,356.9,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,291.9,15.7,D
-36.71194,149.40715,353.4,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,291.4,15.2,D
-36.50018,149.97441,367,0.7,0.75,2020-01-24,0242,N,high,1.0NRT,296.8,35.1,D
